Train Number,Train Name,Arrival,Departure,Source,Destination
11005,PUDUCHERRY EXP,06:12,06:15,DADAR,PUDUCHERRY
11006,CHALUKYA  EXP,21:02,21:05,PUDUCHERRY,DADAR
11021,TIRUNELVELI EXP,06:12,06:15,DADAR,TIRUNELVELI
11022,CHALUKYA  EXP,21:02,21:05,TIRUNELVELI,DADAR
11023,SAHYADRI EXPRES,04:07,04:10,MUMBAI CST,C SHAHUMHARAJ T
11024,SAHYADRI EXP,00:15,00:18,C SHAHUMHARAJ T,MUMBAI CST
11029,KOYNA EXPRESS,18:42,18:45,MUMBAI CST,C SHAHUMHARAJ T
11030,KOYNA EXPRESS,09:25,09:28,C SHAHUMHARAJ T,MUMBAI CST
11035,SHARAVATHI EXP,06:12,06:15,DADAR,MYSORE JN
11036,SHARAVATI  EXP,21:02,21:05,MYSORE JN,DADAR
11039,MAHARASHTRA EXP,16:52,16:55,C SHAHUMHARAJ T,GONDIA JN
11040,MAHARASHTRA EXP,10:52,10:55,GONDIA JN,C SHAHUMHARAJ T
11049,KOLHAPUR EXPRES,13:27,13:30,AHMEDABAD JN,C SHAHUMHARAJ T
11050,AHMEDABAD EXP,13:57,14:00,C SHAHUMHARAJ T,AHMEDABAD JN
11097,POORNA EXPRESS,04:27,04:30,PUNE JN,ERNAKULAM JN
11098,POORNA EXPRESS,23:12,23:15,ERNAKULAM JN,PUNE JN
12147,NIZAMUDDIN EXP,10:32,10:35,C SHAHUMHARAJ T,H NIZAMUDDIN
12148,NZM KOP EXP,14:15,14:18,H NIZAMUDDIN,C SHAHUMHARAJ T
12779,GOA EXPRESS,22:42,22:45,VASCO DA GAMA,H NIZAMUDDIN
12780,GOA EXPRESS,21:27,21:30,H NIZAMUDDIN,VASCO DA GAMA
12781,SWARNA JAYANTHI,10:32,10:35,MYSORE JN,H NIZAMUDDIN
12782,SWARNA JAYANTHI,14:15,14:18,H NIZAMUDDIN,MYSORE JN
15018,GKP LTT EXP,10:52,10:55,GORAKHPUR JN,LOKMANYATILAK T
16209,AII MYS EXPRESS,09:27,09:30,AJMER JN,MYSORE JN
16210,AJMER EXPRESS,12:57,13:00,MYSORE JN,AJMER JN
16505,GIMB SBC EXPRES,09:27,09:30,GANDHIDHAM BG,BANGALORE CY JN
16506,GANDHIDHAM EXP,12:57,13:00,BANGALORE CY JN,GANDHIDHAM BG
16507,BGKT SBCEXP,09:27,09:30,BHAGAT KI KOTHI,BANGALORE CY JN
16508,JODHPUR EXPRESS,12:57,13:00,BANGALORE CY JN,JODHPUR JN
16531,SBC GARIB NAWAJ,09:27,09:30,AJMER JN,BANGALORE CY JN
16532,GARIB NAWAZ EXP,12:57,13:00,BANGALORE CY JN,AJMER JN
17305,NZM LINK EXP,22:42,22:45,HUBLI JN,H NIZAMUDDIN
17317,LOKAMANYA TT EX,21:35,21:38,HUBLI JN,LOKMANYATILAK T
17318,LTT HUBLI EXP,19:20,19:23,LOKMANYATILAK T,HUBLI JN
17411,MAHALAXMI EXP,05:22,05:25,MUMBAI CST,C SHAHUMHARAJ T
17412,MAHALAXMI EXP,21:50,21:53,C SHAHUMHARAJ T,MUMBAI CST
